episode,step,object,robot_x,robot_y,range,true_xmin,true_ymin,true_xmax,true_ymax,det_xmin,det_ymin,det_xmax,det_ymax
6.0000,4.0000,6.0000,3.2500,3.2500,5.1550,3.2676,7.2757,4.6518,9.4362,3.3279,7.2709,4.6048,9.3464
7.0000,4.0000,0.0000,3.2500,3.2500,8.9113,11.1426,4.6616,12.5367,6.5835,11.3872,4.9602,12.0758,6.0526
7.0000,4.0000,1.0000,3.2500,3.2500,9.6217,9.3399,9.0788,10.5680,11.2247,9.6665,9.7022,10.4358,10.6181
8.0000,4.0000,2.0000,3.2500,3.2500,4.2025,6.0048,3.0722,8.4371,6.1789,6.1228,3.1565,8.4597,6.0963
8.0000,4.0000,7.0000,3.2500,3.2500,9.8638,1.8511,11.8475,5.0332,14.3763,1.8901,11.6451,4.8945,13.9981
9.0000,4.0000,4.0000,3.2500,3.2500,9.8564,11.5979,5.7024,13.3392,7.7735,11.8516,5.8488,13.4957,7.8083
10.0000,4.0000,0.0000,3.2500,3.2500,4.7406,7.3515,2.4307,8.6297,4.0713,7.5606,2.4807,8.7721,4.0874
10.0000,4.0000,2.0000,3.2500,3.2500,9.0240,10.8148,3.8540,13.5139,5.4508,11.0634,3.9058,13.7312,5.4601
10.0000,4.0000,3.0000,3.2500,3.2500,8.2369,2.5594,10.2801,5.6682,12.6029,2.6057,10.1654,5.5353,12.4479
10.0000,4.0000,5.0000,3.2500,3.2500,4.2591,4.8236,5.9415,6.4626,7.6047,4.9692,5.9925,6.4536,7.5957
11.0000,4.0000,0.0000,3.2500,3.2500,4.2064,2.2398,6.5305,4.9779,8.3517,2.3258,6.5965,4.8756,8.2874
11.0000,4.0000,3.0000,3.2500,3.2500,5.2975,4.0584,7.0553,6.9718,9.0224,4.6066,7.6019,6.1845,8.4869
12.0000,4.0000,0.0000,3.2500,3.2500,5.2820,3.5780,6.8508,6.5001,9.5887,3.5271,6.9606,6.2744,9.5257
12.0000,4.0000,1.0000,3.2500,3.2500,6.3245,4.5737,8.1084,5.7750,10.4408,4.8486,8.6627,5.5783,9.9522
12.0000,4.0000,4.0000,3.2500,3.2500,9.5527,11.0314,5.2658,13.4459,7.7022,11.2095,5.4226,13.4266,7.7115
12.0000,4.0000,7.0000,3.2500,3.2500,9.3309,11.2021,1.9004,13.9568,4.2770,11.1859,1.7949,13.8765,4.0460
13.0000,4.0000,2.0000,3.2500,3.2500,8.1324,10.0326,2.6951,12.6775,5.1374,10.2417,2.9245,12.7836,5.2674
13.0000,4.0000,3.0000,3.2500,3.2500,8.9355,9.2952,8.1432,11.0963,9.5994,10.0321,8.6868,10.8044,9.1330
13.0000,4.0000,4.0000,3.2500,3.2500,7.7696,9.1006,4.8783,11.7168,7.6615,8.9962,4.7260,11.5340,7.3439
14.0000,4.0000,4.0000,3.2500,3.2500,9.8758,11.4497,6.5037,13.1131,7.9876,11.6514,7.1710,12.5932,7.8498
15.0000,4.0000,1.0000,3.2500,3.2500,6.2744,4.6857,7.9580,7.8215,9.5596,4.7647,7.7881,7.7690,9.2821
15.0000,4.0000,5.0000,3.2500,3.2500,9.1014,11.1232,3.0204,13.4635,5.5331,11.6749,3.6583,13.2234,4.7825
15.0000,4.0000,6.0000,3.2500,3.2500,8.3918,4.9227,10.2512,7.0137,12.1276,5.1276,10.0233,7.0411,11.8734
15.0000,4.0000,7.0000,3.2500,3.2500,4.3274,6.5569,3.3325,8.4870,4.5476,6.5301,3.4027,8.4661,4.5034
15.0000,4.0000,8.0000,3.2500,3.2500,2.1421,3.0857,3.8566,5.0024,6.6225,3.5534,4.4931,4.6813,6.0164
16.0000,4.0000,1.0000,3.2500,3.2500,9.2714,7.2396,10.0563,10.2230,11.3990,8.1584,10.4923,9.4617,11.1556
16.0000,4.0000,2.0000,3.2500,3.2500,4.3377,6.9796,2.0197,8.1959,4.4863,6.9085,2.1769,8.1143,4.5715
17.0000,4.0000,5.0000,3.2500,3.2500,8.3628,2.1838,10.3113,4.8814,12.9047,2.0153,10.1659,4.6146,12.5436
17.0000,4.0000,6.0000,3.2500,3.2500,9.1847,2.9013,11.1424,5.3465,13.6438,2.9166,11.0506,5.2313,13.4640
17.0000,4.0000,7.0000,3.2500,3.2500,6.0029,3.0983,8.5341,5.5894,9.7708,3.3601,8.6345,5.6709,9.8804
18.0000,4.0000,1.0000,3.2500,3.2500,5.1529,6.2339,4.5590,8.8367,7.6640,6.2802,4.6256,8.7730,7.5405
18.0000,4.0000,4.0000,3.2500,3.2500,7.1607,8.8992,4.8829,10.7879,7.2031,8.9208,4.8832,10.7123,7.1020
18.0000,4.0000,5.0000,3.2500,3.2500,5.0524,6.6952,2.7792,9.8020,5.1913,6.7405,2.8942,9.7243,5.1322
19.0000,4.0000,2.0000,3.2500,3.2500,8.0913,9.9923,2.6843,12.6892,3.9961,10.0319,2.6203,12.6113,3.8940
19.0000,4.0000,5.0000,3.2500,3.2500,3.4014,4.6874,4.2027,6.7578,6.9688,5.2803,4.8922,6.3896,6.2293
20.0000,4.0000,0.0000,3.2500,3.2500,3.5874,2.7380,5.7230,5.7673,7.6660,3.5469,6.0570,5.0632,6.9133
20.0000,4.0000,1.0000,3.2500,3.2500,6.3800,8.2991,4.6028,10.2772,6.0180,8.6744,5.0156,9.3316,5.6365
20.0000,4.0000,2.0000,3.2500,3.2500,9.3649,9.0076,8.9077,10.3609,11.2015,9.1254,8.9737,10.4037,11.1259
20.0000,4.0000,4.0000,3.2500,3.2500,7.7319,7.2772,7.6475,9.1855,10.6794,7.5670,8.0334,9.3735,10.9567
